Category: All categories

Month,open source: (Worldwide)
2004-01,87
2004-02,90
2004-03,92
2004-04,92
2004-05,89
2004-06,95
2004-07,94
2004-08,91
2004-09,95
2004-10,93
2004-11,90
2004-12,90
2005-01,96
2005-02,98
2005-03,94
2005-04,90
2005-05,96
2005-06,97
2005-07,95
2005-08,94
2005-09,92
2005-10,100
2005-11,99
2005-12,91
2006-01,95
2006-02,96
2006-03,95
2006-04,88
2006-05,87
2006-06,84
2006-07,86
2006-08,87
2006-09,86
2006-10,86
2006-11,85
2006-12,80
2007-01,87
2007-02,86
2007-03,84
2007-04,81
2007-05,81
2007-06,81
2007-07,81
2007-08,79
2007-09,78
2007-10,80
2007-11,77
2007-12,71
2008-01,75
2008-02,75
2008-03,72
2008-04,71
2008-05,69
2008-06,67
2008-07,66
2008-08,64
2008-09,67
2008-10,68
2008-11,64
2008-12,61
2009-01,63
2009-02,66
2009-03,67
2009-04,63
2009-05,59
2009-06,60
2009-07,59
2009-08,58
2009-09,58
2009-10,58
2009-11,59
2009-12,53
2010-01,54
2010-02,56
2010-03,54
2010-04,52
2010-05,50
2010-06,48
2010-07,44
2010-08,45
2010-09,45
2010-10,44
2010-11,43
2010-12,41
2011-01,41
2011-02,42
2011-03,41
2011-04,40
2011-05,38
2011-06,38
2011-07,37
2011-08,34
2011-09,35
2011-10,35
2011-11,35
2011-12,32
2012-01,34
2012-02,35
2012-03,34
2012-04,33
2012-05,32
2012-06,31
2012-07,31
2012-08,30
2012-09,31
2012-10,31
2012-11,29
2012-12,27
2013-01,29
2013-02,30
2013-03,29
2013-04,29
2013-05,28
2013-06,27
2013-07,27
2013-08,26
2013-09,27
2013-10,28
2013-11,27
2013-12,25
2014-01,27
2014-02,28
2014-03,27
2014-04,27
2014-05,26
2014-06,25
2014-07,25
2014-08,24
2014-09,25
2014-10,25
2014-11,25
2014-12,22
2015-01,24
2015-02,25
2015-03,25
2015-04,24
2015-05,22
2015-06,24
2015-07,22
2015-08,22
2015-09,23
2015-10,23
2015-11,22
2015-12,21
2016-01,20
2016-02,21
2016-03,21
2016-04,20
2016-05,20
2016-06,19
2016-07,18
2016-08,18
2016-09,19
2016-10,19
2016-11,20
2016-12,18
2017-01,20
2017-02,21
2017-03,21
2017-04,20
2017-05,19
2017-06,18
2017-07,18
2017-08,18
2017-09,19
2017-10,20
2017-11,21
2017-12,18
2018-01,19
2018-02,19
2018-03,19
2018-04,19
2018-05,18
2018-06,17
2018-07,17
2018-08,17
2018-09,18
2018-10,18
2018-11,17
2018-12,16
2019-01,17
